Job Title,Company Name,Job City,Job Experience,Job Salary,Job Description,Concerned Job Function,Concerned Industry,Concerned Specialization,Concerned Qualification,Concerned Employment Type,Key Skills,Related Company,Related Industry,Related Website,Related Company Turnover,Related Company Size
CrimsonAI - Associate Architect - Python / Node.Js / Golang,CRIMSON INTERACTIVE PVT LTD,Mumbai,0 - 3 Years,Not disclosed,"About the role: Architect core components of the platform capable of handling 1M requests per second Build multi level, multi services components capable of supporting concurrent 10M connections Build high throughput event pipelines Identify key areas of success and failure when designing the system Work closely with the business and engineering team Designing solutions and coding: 90 PERCENT time Requirements: Having build a fairly high throughput system and web product in the past Habit of asking the right questions Understanding the larger picture and designing solutions with wider impact across the product portfolio Having acute attention to high and low level design Design solutions which does not only work, but lasts Having strong Python background Good to have: Startup experience Having worked on products end to end A rockstar engineer Tech geek What to expect: Working on a hybrid work setup from Mumbai Work from office for 3 days, and work from home for 2 days a week Building highly scalable products, which youll be proud of Cool tech stack to work on",IT Software ; Software Products & Services,CRM/CallCentres/BPO/ITES/Med.Trans,System Analyst/Tech Architect,Any Graduate,Full Time,"['design', 'engineering', 'designing', 'building']",CRIMSON INTERACTIVE PVT LTD,"BPOs, KPOs, LPOs, ITES, Transcription (KPO (Knowledge Process Outsourcing))",,,
SDE 1 / SDE 2 / SDE 3,CRIMSON INTERACTIVE PVT LTD,Mumbai,0 - 3 Years,Not disclosed,"About the role: Focus on writing quality code Code end to end (no one is going to help you in that) Figure out what, how and why you need to build what youre supposed to build/fix Write code which will be used by millions of users Requirements: An excellent coder You think what impact your code will have, before (or while) writing the code itself Keen to keep learning, getting your hands dirty as many times as required Smart enough to understand what can be automated and how, to reduce effort in the longer run Strong in Python web development Good to have: Startup experience Worked on interesting products with lots of users Someone geeky or generally curious enough with new technologies What to expect: Working on a hybrid work setup from Mumbai Work from office for 3 days, and work from home for 2 days a week Building highly scalable products, which youll be proud of Cool tech stack to work on",IT Software ; Software Products & Services,CRM/CallCentres/BPO/ITES/Med.Trans,Software Engineer,Any Graduate,Full Time,"['python', 'web development', 'keep learning']",CRIMSON INTERACTIVE PVT LTD,"BPOs, KPOs, LPOs, ITES, Transcription (KPO (Knowledge Process Outsourcing))",,,
Front-end Engineer,PaGaLGuY,Mumbai,0 - 3 Years,Not disclosed,"Front-end Engineer An engineer/perfectionist with a fast keyboard, ready to take on entire features. What Youll Do: Build the next cool thing on PaGaLGuY And improve the existing things on PaGaLGuY Collaborate seamlessly with super talented designers and backend engineers Be an integral part of a team that uses the best open-source tools Create scalable, accessible, and cross-browser compatible experiences that are incredible What Were Looking For: A Strong sense of product design, user experience, and narrative in interface Constant attention to detail and passion for beautiful, pragmatic, and reusable code Smarts, humility, creativity, and equal willingness to teach and learn as part of a team Demonstrates work beyond frontend code that integrates with a variety of backend technologies and services Complete grasp of the box model Stuff We Like: ReactJS, Angular.js, native Javascript HTML5, CSS3. Python is a plus. Design patterns and MVC frameworks Geeking out on browser performance optimizations Endless appetite for knowing how stuff works and reading the source! git and GitHub",IT Software ; Software Products & Services,"Educational/Training, Research/Surveyor/MR",Software Engineer,Any Graduate,Full Time,"['python', 'github', 'git', 'html5', 'mvc', 'javascript']",PaGaLGuY,"Education, Training Institutes & Academic Research (Other Education, Training Institutes & Academic Research)",http://www.pagalguy.com,,
Senior AI Developer,SEVEN CONSULTANCY,Mumbai,0 - 3 Years,Not disclosed,"JOB DETAILS 1.Needs to have statistical, mathematical, predictive modeling as well as business strategy skills to build the algorithms necessary to ask the right questions and find the right answers 2.Preferably in different programming languages such as Python, Tensor Flow, Keras, Numpy, Pytorch 3.Having a good understanding of design & architecture principles 4.Develop and implement state-of-the-art computer vision and deep learning algorithms for detection, classification, segmentation, etc., including advanced document parsing and OCR use cases FUNCTIONAL AREA Artificial intelligence, Statistical, Python, Tensor, Numpy, Pytorch, OCR, Senior Artificial intelligence developer, Senior AI Developer, Senior AI Developer jobs in Mumbai, senior AI Developer jobs in Maharashtra, senior AI Developer jobs in India, AI Developer jobs, Artificial intelligence jobs in Mumbai Artificial intelligence jobs in Maharashtra,",IT Software ; Software Products & Services,IT-Software,Software Engineer,BCA (Computer Application),Full Time,"['algorithms', 'python', 'artificial intelligence', 'architecture principles']",SEVEN CONSULTANCY,,,,
Chief Data Scientist,SEVEN CONSULTANCY,Mumbai,0 - 3 Years,Not disclosed,"1.Python Programming 2.Strong OOPS Concepts 3.Strong knowledge in CS fundamentals - Datastructures, algorithm design & Problem-solving 4.Experience in workflow management platforms like - Apache Airflow, pachyderm, MLFlow 5.AWS Lambda, Step Functions, State Machines, setting up data pipelines. 6.Must have experience in working in a Rapid Prototyping environment. Be able to take the initiative and work with minimum guidance and requirements. 7.Experience in Machine Learning - Pandas, Scikit-Learn, EDA, PCA, other Data preprocessing techniques 8.Experience in any Infrastructure as code platform like Terraform, AWS CloudFormation.",IT Software ; Software Products & Services,IT-Software,Software Engineer,Any Graduate,Full Time,"['fundamentals', 'python', 'machine learning', 'apache', 'infrastructure', 'oops']",SEVEN CONSULTANCY,,,,
Junior AI Developer,SEVEN CONSULTANCY,Mumbai,0 - 3 Years,Not disclosed,"JOB DETAILS 1.Needs to have statistical, mathematical, predictive modeling as well as business strategy skills to build the algorithms necessary to ask the right questions and find the right answers 2.Preferably in different programming languages such as Python, Tensor Flow, Keras, Numpy, Pytorch 3.Having a good understanding of design & architecture principles 4.Develop and implement state-of-the-art computer vision and deep learning algorithms for detection, classification, segmentation, etc., including advanced document parsing and OCR use cases FUNCTIONAL AREA Artificial intelligence, Statistical, Python, Tensor, Numpy, Pytorch, OCR, Artificial intelligence developer, Junior AI Developer, Junior AI Developer jobs in Mumbai, Junior AI Developer jobs in Maharashtra, Junior AI Developer jobs in India, Junior AI Developer jobs, Artificial intelligence jobs in Mumbai, Artificial intelligence jobs in Maharashtra, Machine Learning Recruitment agency in Mumbai, Machine Learning Placement Consultant in Mumbai, Machine Learning Staffing agencies In Mumbai, Machine Learning Jobs Consultancy in Mumbai, Machine Learning Recruitment company in Mumbai, Machine Learning Staffing sollutions in Mumbai, Top Machine Learning Recruitment agency in Mumbai, Best Machine Learning Recruitment agency in Mumbai, Machine Learning Recruitment agency in India, Machine Learning Placement consultant in India, Machine Learning Staffing agencies in India.",IT Software ; Software Products & Services,IT-Software,Software Engineer,BCA (Computer Application),Full Time,"['algorithms', 'python', 'machine learning', 'artificial intelligence', 'consultant']",SEVEN CONSULTANCY,,,,
Blockchain Developer C / java,Boyen Haddin Consultants LLP,Mumbai,0 - 3 Years,Not disclosed,"Job Description : We are looking for a blockchain developer who will be responsible for designing, implementing, and supporting a distributed blockchain-based network. Your primary responsibility will be analyzing requirements, designing blockchain technology around a certain business model, and the building and launching of a blockchain network. Responsibilities : Research, design, develop, and test blockchain technologies Brainstorm and help evaluate applications for new tools and technologies as they continually evolve Maintain and extend current client- and server-side applications responsible for integration and business logic Be involved in the global blockchain community- work on implementing and integrating the latest improvement proposals -Document new solutions as well as maintaining that of existing ones Required Candidate profile -Strong software development background Experience working with large codebases Experience working with open-source projects Proficiency in one of the following languages: C , Java, Javascript. Strong knowledge of common algorithms and data structures Familiarity with basic cryptography Familiarity with P2P networks Strong knowledge of concurrency and writing efficient and safe multithreaded code Required skills APIGolang Blockchain java Python RESTful",IT Software ; Software Products & Services,Consulting Services,Software Engineer,Any Graduate,Full Time,"['algorithms', 'c', 'python', 'cryptography', 'javascript', 'java', 'data structures']",Boyen Haddin Consultants LLP,Consultancy Services (Other Consultancy Services),http://www.boyenhaddin.com,,
Programming Trainer,SPEAKWELL ENTERPRISES PVT. LTD.,Mumbai,0 - 3 Years,Not disclosed,"Company Description Speakwell Enterprises Pvt. Ltd. is a teamwork of all its franchisee partners who are obsessed with the company's mission to create a society where English speaking capability can be harnessed by each and every individual to increase his/her potential to succeed in their professional and personal life. We seek to liberate the person from his inability to communicate in the corporate language of India, which is English. We believe everybody has a right to his/her share of success and lack of spoken English capability cannot be a hindrance to a man/woman's capability to achieve it. Speakwell was established in 2006 as a spoken English Training Company with its first center in Mumbai. Over the years it has grown into a complete career solution company with a vast network of centers across India. It has more than 100 centers spread across Maharashtra, Gujarat, U.P., H.P. & Kerala. Apart from Spoken English, the company has diversified into job oriented training in sectors like BPO, Retail, Hospitality, etc. Job Description 1. Excellent Knowledge and Experience in C# 2. Experience of Java,MS Sql, DOT.Net ,JAVA Script, 3.Experience of C , C,Python or PHP Qualifications Qualification- BSC-IT/MSC-IT or BCA/MCA or B.com Experience- 1Years-3Years Additional Information Require Excellent Programming Trainer for Western or Central or Harbour Candidate must having Excellent communication and initiative. Active and Smart Candidates Preferred. Well groomed n confident. Full time ( 10:00-7:00) or(11:00- 8:00)(4:00pm-9:00) Salary- 1,44,000 PM-1,80,000 PM Interested candidate please feel to call on: 9029778661 I'm interested",IT Software ; Software Products & Services,Educational/Training,Software Engineer,MCA/ PGDCA BCA (Computer Application),Full Time,"['c#', 'c', 'python', 'c', 'sql', 'java', '.net', 'php']",SPEAKWELL ENTERPRISES PVT. LTD.,,,,
Software Developer,PaGaLGuY,Mumbai,0 - 3 Years,Not disclosed,"Software Developer Are you interested in building products used by millions of people? Are you passionate about building next generation tools that greatly enhance the way people learn new things ? Then this is a great place for you. What Youll Do: Develop high performance distributed services and systems for PaGaLGuY Products Explore and implement new features at PaGaLGuY Create tools for experimenting, evaluating and optimizing product and systems performance. Improve reliability, scalability, efficiency and latency of servers and process What Were Looking For: A track record of solving problems and getting things done Highly productive developer in Python, Ruby, Scala, Java, C or similar Familiarity with information retrieval, recommendation system, and relevancy Familiarity with Linux-based systems Experience with search infrastructure a plus An obsessive desire to ship well tested, amazing software",IT Software ; Software Products & Services,"Educational/Training, Research/Surveyor/MR",Software Engineer,Any Graduate,Full Time,"['python', 'c', 'java', 'scala', 'infrastructure', 'information retrieval', 'linux', 'software developer', 'ruby']",PaGaLGuY,"Education, Training Institutes & Academic Research (Other Education, Training Institutes & Academic Research)",http://www.pagalguy.com,,
GreenPlum DBA,INTERSOFTKK ( INDIA ) PVT. LTD.,Mumbai,0 - 3 Years,Not disclosed,"Company Description Intersoft is a global business and technology consulting firm primarily serving consumer banks, wealth management firms, insurance companies and investment banks. Intersoft also offers its clients risk management and compliance-related software products and services in banking and financial services. In addition to serving its clients in the financial world, Intersoft serves its clients in telecommunications, pharmaceuticals and manufacturing space. Intersoft will strive to create a superior work environment that will offer assistance to all key players and stakeholders its clients, its employees, and its partners to achieve their aspirations together as a harmonized team and allow to stretch themselves beyond their perceived boundaries to achieve the best possible. Job Description Experience in GreenPlum Database 4.2 or higher GreenPlum database administration including installation of GreenPlum database software, configuration, troubleshooting , database object creation, routine maintenance tasks GreenPlum performance monitoring and troubleshooting Familiarity with Postgres database GreenPlum Database Design GreenPlum Command Center GreenPlum Workload Management GreenPlum Query Tuning Experience with GreenPlum Data Loading using gpload/external tables Experience in working with EMC/Pivotal Support Experience with Production Support and working on shifts/on-call rotation. Proficiency in Unix OS and shell/perl/python scripting Additional Information All your information will be kept confidential according to EEO guidelines.",IT Software ; Software Products & Services,IT-Software,Software Engineer,Any Graduate,Full Time,"['os', 'production support', 'database', 'python scripting', 'technology consulting', 'perl', 'unix']",INTERSOFTKK (INDIA) PVT. LTD.,,,,
DevOps Engineer,Feedspot,Mumbai,0 - 3 Years,Not disclosed,"We are looking for infrastructure and automation ninjas to implement continuous integration and agile infrastructure for our enterprise product companies. You will get to architect and lead DevOps practice implementations using latest cloud and automation technologies. JOB RESPONSIBILITIES Setup infrastructure automation and CI/CD pipelines on AWS and GCP. Implement microservice and container strategies using Kubernetes platforms. Design continuous integration and delivery pipelines using latest tools and platforms. Write lots of automation code and leverage latest tooling. Consult with customers to deploy best practices in their development, QA, DevOps and operations teams. Pro-actively look for ways to make the architecture, code and operations better. Requirements Experience with a few of these languages: C , Shell, Ruby/JRuby, Python, PowerShell, Java, Go Experience with implementation of container technologies like Docker, Kubernetes Infrastructure automation experience with knowledge of atleast a few of these tools: Chef, Puppet, Ansible, CloudFormation, Terraform, Packer Experience with continuous integration(Jenkins, CircleCI), continuous delivery and enterprise DevOps concepts Experience with AWS, GCP or Azure SCM tools: Git, SVN, Mercurial Knowledge of multi-tier application architectures Logging, monitoring and alerting tools like Splunk, Kibana, Logstash, Nagios, New Relic Bachelor's Degree in Computer Science or Engineering",IT Software ; Software Products & Services,Others - other Industry,Software Engineer,Any Graduate,Full Time,"['c', 'docker', 'java', 'git', 'devops', 'python', 'svn', 'ruby', 'infrastructure', 'splunk']",Feedspot,Other Industry (Others),http://www.feedspot.com,,
Sr. NLP Research Engineer,Boyen Haddin Consultants LLP,Mumbai,0 - 3 Years,Not disclosed,"Sentiment Analysis, Entity Extraction, Natural Language Processing (NLP), Natural Language Inference (NLI) and Natural language Understanding (NLU). Quantitative Analysis of time series data for variety of financial assets Applying various Machine Learning algorithms to large-scale datasets containing text or time-series data. Cognitive computing and intelligent assistance through automated reasoning. Augmented intelligence, deep learning and pattern recognition. Server-less computing using AWS infrastructure. Tuning various Machine Learning/Deep Learning Models. Expert level knowledge of Python is required. Strong knowledge of data structures, design patterns, building algorithms and working with distributed computing. Some knowledge of version control and coding standards. Some experience with document databases, relational databases and time-series databases.",IT Software ; Software Products & Services,Consulting Services,Software Engineer,Any Graduate,Full Time,"['algorithms', 'python', 'natural language processing', 'machine learning', 'infrastructure', 'data structures', 'pattern recognition']",Boyen Haddin Consultants LLP,Consultancy Services (Other Consultancy Services),http://www.boyenhaddin.com,,
Machine Learning Engineer,TAC Security,Mumbai,0 - 3 Years,Not disclosed,"Machine Learning Engineer Apply For This Role WHAT YOU'LL BE DOING Ensures software applications are built with quality while conforming to corporate and regulatory processes and practices by Performing requirements analysis, proactively identifying deficiencies, ambiguities, and outstanding questions Identifying and communicating clear distinctions between business requirements, design, and implementation constructs Following established software patterns and development processes Writing simple concise unit tests with appropriate code coverage Identifying, documenting, and communicating steps to reproduce and workarounds for bugs Identifying gaps and deficiencies in requirements, design, development, testing, support processes Delivering tested code inconsistently timely fashion with a high degree of efficiency and a low frequency of bugs (or reopened bugs) Identifying design alternatives, questions, and tradeoffs Identifying gaps, problems, and weaknesses in software solutions by performing code and design reviews SKILLS YOU HAVE Programming: Python Technology: Data Science, Deep Learning, ML, Data Analytics, Data Visualization. Database: MySQL Other tools and Packages: Matplotlib, Seaborn, MySQL-Python, Scikit-Learn, Flask Big Data Framework: Hadoop, Spark ABOUT TAC SECURITY TAC Security, headquartered in San Francisco, is a global leader in Vulnerability Management that protects Fortune 500 companies, leading enterprises, and governments around the world. The company manages 5 Million vulnerabilities through its Artificial Intelligence (AI) based Vulnerability Management Platform ESOF (Enterprise Security in One Framework).",IT Software ; Software Products & Services,"IT-Hardware/Networking, Telecom",Software Engineer,ML/ LLM (Law) BE/ B.Tech (Engineering),Full Time,"['san', 'python', 'enterprise security', 'machine learning', 'artificial intelligence', 'database', 'security', 'mysql', 'hadoop', 'big data']",TAC Security,"Technology (IT, Telecom, Dot Com etc) (Other Technology Services)",http://www.tacsecurity.co.in,,
C09 - AI non-Model Review Team,CITI,Mumbai,0 - 2 Years,Not disclosed,"The Model/Anlys/Valid Analyst I requires a good knowledge of the range of processes, procedures and systems to be used in carrying out assigned tasks and a basic understanding of the underlying concepts and principles upon which the job is based. Good understanding of how the team interacts with others in accomplishing the objectives of the area. Makes evaluative judgements based on the analysis of factual information. They are expected to resolve problems by identifying and selecting solutions through the application of acquired technical experience and will be guided by precedents. Must be able to exchange information in a concise and logical way as well as be sensitive to audience diversity. Limited but direct impact on the business through the quality of the tasks/services provided. Impact of the job holder is restricted to own job. Responsibilities: Develops, enhances, and validates the methods of measuring and analyzing risk, for all risk types. Also, may develop, validate and strategize uses of AI/ML models, Generative AI models. Supports the design, development, delivery and maintenance of best-in-class Risk programs, policies and practices for Risk Management. Reviews institutional or retail analytics and Models and other documents to ensure compliance with various regulatory and legal requirements. Identifies potential risks and escalates for further review. Handles preliminary investigations, assists with reconciliation procedures and prepares routine correspondence. Creates and maintains reports for control, tracking, and analysis purposes and ensures appropriate and secure retention of documents. Works with more senior staff in investigating and responding to customer and operational complaints. Interacts and works with other areas within Risk Management, as necessary. Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency. As a successful candidate, youd ideally have the following skills and exposure: 0-2 yrs Experience in Natural Language Processing, AI, Machine Learning model development and/or validation. Generative AI experience is preferred. Proficient in Python Consistently demonstrates clear and concise written and verbal communication skills Self-motivated and detail oriented Project management and organizational skills and capability to handle multiple projects at one time Qualifications: Education: Master's degree (or above) in quantitative fields Job Family Group: Risk Management Job Family: Risk Analytics, Modeling, and Validation Time Type: Full time Citi is an equal opportunity and affirmative action employer. Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran. Citigroup Inc. and its subsidiaries (""Citi) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi. View the ""EEO is the Law"" poster. View the EEO is the Law Supplement. View the EEO Policy Statement. View the Pay Transparency Posting Locations: NIRLON KNOWLEDGE PARK BLOCK B7, India",IT Software ; Software Products & Services,Banking,Software Engineer,ML/ LLM (Law) Any Graduate,Full Time,"['natural language processing', 'machine learning development', 'python proficiency', 'detail oriented', 'project management skills']",CITI,"Banking, Financial Services & Insurance (Banking - Retail, Corporate, Co-operative)",,,
